User_ID,Product_ID,Rating,Purchase_Count,Region_Code,Device_Type,Session_Length,Discount_Used,Return_Flag,Review
1,668,3,13,47,Mobile,46,1,1,support quality poor average fantastic bad
2,268,1,16,14,Web,91,1,1,support service fantastic bad quality product
3,821,3,14,45,Mobile,98,1,1,value design quality service support experience
4,544,4,16,15,Mobile,13,1,0,performance service fantastic excellent bad average
5,637,5,5,49,Mobile,31,0,0,excellent average poor design value quality
6,484,3,14,49,Mobile,88,1,0,poor product bad price service excellent
7,784,5,11,21,Mobile,251,1,1,experience excellent bad support fantastic average
8,866,2,3,44,Mobile,177,0,1,product quality support service fantastic poor
9,343,3,14,43,Mobile,193,1,0,support product delivery excellent quality service
10,606,1,13,47,Web,62,0,1,average experience poor fantastic quality design
11,644,1,20,17,Web,79,0,1,fantastic bad value excellent delivery quality
12,663,1,12,47,Web,12,1,0,service bad design experience quality product
13,797,4,17,44,Mobile,117,0,0,average design product fantastic support delivery
14,309,2,20,38,Web,73,0,0,quality bad product price excellent fantastic
15,702,4,9,19,Mobile,135,1,0,delivery product poor price support bad
16,393,2,13,17,Web,182,1,1,support bad product experience performance fantastic
17,867,2,8,43,Web,82,0,0,design experience value fantastic delivery support
18,250,2,13,8,Mobile,204,1,0,performance average excellent service poor quality
19,657,1,8,18,Mobile,48,1,1,support experience delivery value quality performance
20,574,4,9,33,Mobile,254,0,0,support average quality bad excellent experience
21,791,1,15,35,Mobile,130,1,1,experience design bad excellent support product
22,560,1,14,28,Web,30,1,0,product excellent performance delivery fantastic value
23,533,1,12,19,Mobile,84,0,0,support experience delivery poor excellent price
24,234,5,14,22,Mobile,67,1,1,performance product excellent quality average delivery
25,773,3,14,10,Mobile,152,0,0,support design quality value product delivery
26,930,3,10,27,Mobile,25,1,1,service poor delivery average support product
27,156,4,16,24,Web,48,1,1,design excellent bad poor average value
28,547,4,18,10,Mobile,15,0,1,price value design delivery experience quality
29,337,3,8,41,Web,218,1,1,poor average bad performance delivery product
30,377,5,16,26,Mobile,111,1,1,experience average bad service excellent design
